event_date,country_id,network_id,client_id,value_usd
10/01/2022,109,60,219,3.900000058
10/01/2022,213,60,184,2.942999899
10/01/2022,213,60,219,3.400000051
11/01/2022,1,10,71,3.119999886
11/01/2022,1,10,94,97.81999874
11/01/2022,1,10,174,1.299999952
11/01/2022,1,10,189,1.230000019
11/01/2022,1,60,71,13.84499931
11/01/2022,1,60,94,91.73399979
11/01/2022,1,60,95,7.5
11/01/2022,1,60,97,1.264000058
11/01/2022,1,60,104,58.17099881
11/01/2022,1,60,121,65.02500093
11/01/2022,1,60,122,1.200000048
11/01/2022,1,60,154,0.001
11/01/2022,1,60,174,109.7969975
11/01/2022,1,60,189,13.56300032
11/01/2022,1,60,219,10.95200002
11/01/2022,17,10,174,2
11/01/2022,109,10,71,1.50000006
11/01/2022,109,10,73,1.359999955
11/01/2022,109,10,97,0.690000013
11/01/2022,109,10,104,13.65000018
11/01/2022,109,10,174,0.449999988
11/01/2022,109,10,189,0.25
11/01/2022,109,60,95,0.200000003
11/01/2022,109,60,97,3.434999928
11/01/2022,109,60,121,9.526999861
11/01/2022,109,60,174,18.82000054
11/01/2022,109,60,184,3.496000051
11/01/2022,109,60,189,0.704999998
11/01/2022,109,60,219,0.800000012
11/01/2022,213,60,184,2.225000024
11/01/2022,213,60,219,0.900000013
12/01/2022,1,10,71,1.559999943
12/01/2022,1,10,94,240.2799954
12/01/2022,1,10,174,2.599999905
12/01/2022,1,10,189,1.230000019
12/01/2022,1,60,71,3.671000004
12/01/2022,1,60,73,0.540000021
12/01/2022,1,60,94,112.3239992
12/01/2022,1,60,95,3
12/01/2022,1,60,97,0.632000029
12/01/2022,1,60,104,47.60599923
12/01/2022,1,60,121,167.3840021
12/01/2022,1,60,154,1.396000028
12/01/2022,1,60,174,143.0429955
12/01/2022,1,60,184,2.568000078
12/01/2022,1,60,189,10.74100029
12/01/2022,1,60,219,2.148000002
12/01/2022,17,10,71,0.860000014
12/01/2022,17,10,73,0.540000021
12/01/2022,109,10,71,0.600000024
12/01/2022,109,10,73,3.73999989
12/01/2022,109,10,97,0.230000004
12/01/2022,109,10,104,11.96999991
12/01/2022,109,10,121,0.319999993
12/01/2022,109,10,174,2.399999946
12/01/2022,109,10,184,0.200000003
12/01/2022,109,10,189,0.5
12/01/2022,109,60,71,0.300000012
12/01/2022,109,60,73,0.100000001
12/01/2022,109,60,94,0.505999997
12/01/2022,109,60,97,2.153999984
12/01/2022,109,60,121,6.480000049
12/01/2022,109,60,174,25.25200089
12/01/2022,109,60,184,4.787000105
12/01/2022,109,60,189,0.469999999
12/01/2022,109,60,219,0.400000006
12/01/2022,213,60,184,0.842999995
12/01/2022,213,60,219,0.800000012
13/01/2022,1,10,71,3.119999886
13/01/2022,1,10,94,202.5899961
13/01/2022,1,10,121,2.849999964
13/01/2022,1,10,189,17.1500001
13/01/2022,1,60,71,3.671000004
13/01/2022,1,60,73,1.080000043
13/01/2022,1,60,94,82.18999958
13/01/2022,1,60,95,1.5
13/01/2022,1,60,97,1.264000058
13/01/2022,1,60,104,64.36699891
13/01/2022,1,60,121,122.2170012
13/01/2022,1,60,122,1.200000048
13/01/2022,1,60,154,0.698000014
13/01/2022,1,60,174,118.0919964
13/01/2022,1,60,184,0.754000008
13/01/2022,1,60,189,2.705000043
13/01/2022,1,60,219,3.750000119
13/01/2022,109,10,71,0.900000036
13/01/2022,109,10,73,2.029999942
13/01/2022,109,10,97,0.230000004
13/01/2022,109,10,104,9.839999914
13/01/2022,109,10,174,1.919999957
13/01/2022,109,10,184,0.200000003
13/01/2022,109,10,189,0.25
13/01/2022,109,60,71,0.300000012
13/01/2022,109,60,73,0.100000001
13/01/2022,109,60,94,0.722000003
13/01/2022,109,60,95,0.200000003
13/01/2022,109,60,97,1.076999992
13/01/2022,109,60,121,5.721000046
13/01/2022,109,60,174,19.15300088
13/01/2022,109,60,184,4.360000074
13/01/2022,109,60,189,0.851000011
13/01/2022,109,60,219,0.800000012
13/01/2022,213,60,184,4.182000101
13/01/2022,213,60,189,0.300000012
13/01/2022,213,60,219,2.70000004
14/01/2022,1,10,94,213.3999958
14/01/2022,1,10,121,2.019999981
14/01/2022,1,10,174,1.299999952
14/01/2022,1,10,189,21.13000011
14/01/2022,1,60,71,13.84499931
14/01/2022,1,60,94,85.32199883
14/01/2022,1,60,97,1.264000058
14/01/2022,1,60,104,64.36699891
14/01/2022,1,60,121,138.9120017
14/01/2022,1,60,174,173.1089948
14/01/2022,1,60,184,1.131000012
14/01/2022,1,60,189,11.347
14/01/2022,17,60,71,0.654999971
14/01/2022,109,10,71,1.200000048
14/01/2022,109,10,73,2.899999917
14/01/2022,109,10,97,0.460000008
14/01/2022,109,10,104,4.509999961
14/01/2022,109,10,121,0.319999993
14/01/2022,109,10,174,0.479999989
14/01/2022,109,10,189,1.25
14/01/2022,109,60,71,0.600000024
14/01/2022,109,60,94,0.425999999
14/01/2022,109,60,97,2.153999984
14/01/2022,109,60,121,2.280000031
14/01/2022,109,60,174,19.28100088
14/01/2022,109,60,184,5.801000103
14/01/2022,109,60,219,0.100000001
14/01/2022,213,60,184,2.415000021
14/01/2022,213,60,219,1.40100003
15/01/2022,1,10,71,3.119999886
15/01/2022,1,10,94,285.0399945
15/01/2022,1,10,97,0.610000014
15/01/2022,1,10,104,0.800000012
15/01/2022,1,10,121,4.039999962
15/01/2022,1,10,174,1.299999952
15/01/2022,1,10,189,33.83000016
15/01/2022,1,60,71,12.90099955
15/01/2022,1,60,94,75.28299934
15/01/2022,1,60,95,3
15/01/2022,1,60,97,1.264000058
15/01/2022,1,60,104,58.78399909
15/01/2022,1,60,121,155.9560018
15/01/2022,1,60,174,224.8829938
15/01/2022,1,60,184,0.377000004
15/01/2022,1,60,189,18.89600015
15/01/2022,1,60,219,2.676000118
15/01/2022,17,10,71,0.860000014
15/01/2022,109,10,71,1.50000006
15/01/2022,109,10,73,2.319999933
15/01/2022,109,10,94,0.479999989
15/01/2022,109,10,97,0.460000008
15/01/2022,109,10,104,12.70999989
15/01/2022,109,10,174,5.679999888
15/01/2022,109,10,189,1.75
15/01/2022,109,60,71,0.300000012
15/01/2022,109,60,94,0.383000001
15/01/2022,109,60,95,0.400000006
15/01/2022,109,60,97,2.512999982
15/01/2022,109,60,121,6.311000079
15/01/2022,109,60,174,24.99700111
15/01/2022,109,60,184,3.730000049
15/01/2022,109,60,189,0.145999998
15/01/2022,109,60,219,0.800000012
15/01/2022,213,60,184,1.007000029
15/01/2022,213,60,219,1.709000044
16/01/2022,1,10,71,1.559999943
16/01/2022,1,10,94,251.0899951
16/01/2022,1,10,98,0.400000006
16/01/2022,1,10,104,2.400000036
16/01/2022,1,10,121,2.019999981
16/01/2022,1,10,189,51.74000025
16/01/2022,1,60,71,57.61699867
16/01/2022,1,60,73,0.540000021
16/01/2022,1,60,94,111.753999
16/01/2022,1,60,97,1.264000058
16/01/2022,1,60,104,107.9389983
16/01/2022,1,60,121,169.3570015
16/01/2022,1,60,174,215.7259948
16/01/2022,1,60,184,2.945000082
16/01/2022,1,60,189,15.54000008
16/01/2022,1,60,219,5.210000157
16/01/2022,17,10,97,4
16/01/2022,17,60,71,0.654999971
16/01/2022,109,10,71,2.400000095
16/01/2022,109,10,73,2.609999925
16/01/2022,109,10,97,0.690000013
16/01/2022,109,10,104,8.199999928
16/01/2022,109,10,121,0.319999993
16/01/2022,109,10,174,0.959999979
16/01/2022,109,10,189,3
16/01/2022,109,60,71,0.300000012
16/01/2022,109,60,94,0.574000001
16/01/2022,109,60,95,0.400000006
16/01/2022,109,60,97,4.666999966
16/01/2022,109,60,121,4.407000065
16/01/2022,109,60,154,0.129999995
16/01/2022,109,60,174,26.57400104
16/01/2022,109,60,184,8.806000113
16/01/2022,109,60,189,0.145999998
16/01/2022,109,60,219,1.700000025
16/01/2022,213,60,184,1.442000031
16/01/2022,213,60,219,1.511000045
17/01/2022,1,10,94,193.9999962
17/01/2022,1,10,95,1
17/01/2022,1,10,121,2.019999981
17/01/2022,1,10,189,25.87000012
17/01/2022,1,60,71,28.57699919
17/01/2022,1,60,73,0.540000021
17/01/2022,1,60,94,80.21899915
17/01/2022,1,60,104,43.94399929
17/01/2022,1,60,121,116.3260014
17/01/2022,1,60,174,136.2349958
17/01/2022,1,60,184,1.126000017
17/01/2022,1,60,189,9.858999968
17/01/2022,1,60,219,0.730000019
17/01/2022,17,60,71,0.654999971
17/01/2022,17,60,174,1
17/01/2022,109,10,71,0.900000036
17/01/2022,109,10,73,2.899999917
17/01/2022,109,10,94,0.239999995
17/01/2022,109,10,97,0.460000008
17/01/2022,109,10,104,6.559999943
17/01/2022,109,10,174,2.399999946
17/01/2022,109,10,189,2.25
17/01/2022,109,60,71,1.200000048
17/01/2022,109,60,73,0.100000001
17/01/2022,109,60,94,0.144999996
17/01/2022,109,60,97,2.153999984
17/01/2022,109,60,121,4.031000048
17/01/2022,109,60,174,12.8640006
17/01/2022,109,60,184,5.432000101
